"time","series","action","status","source_path","target_path","details"
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E61 - Серия 61.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E62 - Серия 62.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E64 - Серия 64.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E65 - Серия 65.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E66 - Серия 66.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E67 - Серия 67.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E68 - Серия 68.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E69 - Серия 69.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E70 - Серия 70.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E71 - Серия 71.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E72 - Серия 72.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E73 - Серия 73.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E74 - Серия 74.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E75 - Серия 75.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E76 - Серия 76.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E77 - Серия 77.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E78 - Серия 78.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E79 - Серия 79.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E80 - Серия 80.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E81 - Серия 81.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E82 - Серия 82.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E83 - Серия 83.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E84 - Серия 84.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E85 - Серия 85.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E86 - Серия 86.ts","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E01 - Эпизод 1.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E02 - Эпизод 2.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E03 - Эпизод 3.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E04 - Эпизод 4.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E05 - Эпизод 5.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E06 - Эпизод 6.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E07 - Эпизод 7.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E08 - Эпизод 8.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E09 - Эпизод 9.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E10 - Эпизод 10.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E11 - Эпизод 11.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E12 - Эпизод 12.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E13 - Эпизод 13.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E14 - Эпизод 14.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E15 - Эпизод 15.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E16 - Эпизод 16.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E17 - Эпизод 17.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E18 - Эпизод 18.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E19 - Эпизод 19.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E20 - Эпизод 20.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E21 - Эпизод 21.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E22 - Эпизод 22.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E23 - Эпизод 23.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E24 - Эпизод 24.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E25 - Эпизод 25.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E26 - Эпизод 26.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E27 - Эпизод 27.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E28 - Эпизод 28.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E29 - Эпизод 29.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E30 - Эпизод 30.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E31 - Эпизод 31.mkv","","Уже корректно."
"2026-04-29 18:32:55","Бэтмен","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Бэтмен\Сезон 1\Бэтмен - S01E32 - Эпизод 32.mkv","","Уже корректно."
